Items ,Store ,Package size ,Unit,Price ($)
Chicken breast,Sam's Club,5.69,lbs,16.39
Chicken breast,Walmart,1.92,lbs,9.93
Pastur raised eggs,Sam's Club,18,count,5.87
Pastur raised eggs,Walmart,12,count,7.46
Golden star prime jasmine rice,Sam's Club,8,lbs,9.98
Golden star prime jasmine rice,Walmart,2,lbs,3.97
Whole milk,Sam's Club,128,fl oz,2.57
Whole milk,Walmart,64,fl oz,6.26
Nature's own life keto white bread,Sam's Club,32,oz,10.68
Nature's own life keto white bread,Walmart,16,oz,6.64
Honeycrisps apples,Sam's Club,4,lbs,9.95
Honeycrisps apples,Walmart,2,lbs,7.34
Broccoli,Sam's Club,2,lbs,3.27
Broccoli,Walmart,0.75,lbs,2.47
Barilla spagetti,Sam's Club,6,lbs,8.52
Barilla spagetti,Walmart,1,lbs,1.84
Extra virgin olive oil,Sam's Club,68,fl oz,17.48
Extra virgin olive oil,Walmart,16.9,fl oz,7.48
Kerrygold butter,Sam's Club,24,oz,12.22
Kerrygold butter,Walmart,8,oz,5.24
Tyson dino chicken nuggets,Sam's Club,5,lbs,14.47
Tyson dino chicken nuggets,Walmart,1.81,lbs,6.77
Ore-lda crispy crinkle fries,Sam's Club,8,lbs,8.58
Ore-lda crispy crinkle fries,Walmart,2,lbs,3.97
Built puff protein bars,Sam's Club,13,count,19.94
Built puff protein bars,Walmart,4,count,8.98
Kraft parmesan cheese,Sam's Club,4.5,lbs,25.88
Kraft parmesan cheese,Walmart,0.5,lbs,4.44
Quacker oats,Sam's Club,160,oz,7.98
Quacker oats,Walmart,18,oz,3.13
Sea salt,Sam's Club,36,oz,3.98
Sea salt,Walmart,16,oz,8.57
Granulated sugar,Sam's Club,10,lbs,6.58
Granulated sugar,Walmart,3.5,lbs,5.98
ECOS hypoallergenic detergent,Sam's Club,210,fl oz,17.89
ECOS hypoallergenic detergent,Walmart,110,fl oz,11.48
Colgate toothpaste,Sam's Club,30,oz,15.98
Colgate toothpaste,Walmart,10.2,oz,7.18
Head and shoulder shampoo,Sam's Club,38.8,fl oz,12.98
Head and shoulder shampoo,Walmart,28.2,fl oz,12.47
Aveeno body wash,Sam's Club,66,fl oz,18.98
Aveeno body wash,Walmart,33,fl oz,12.97
Quilted 3-ply toilet paper,Sam's Club,36,rolls,29.19
Quilted 3-ply toilet paper,Walmart,24,rolls,23.28
